City,Age,Monthly_Income,Education_Level,Employment_Type,Digital_Usage_Hours,Household_Size,Area_Type,Govt_Scheme_Usage,Citizen_Segment
Lucknow,64,124641,Secondary,Unemployed,9.1,2,Urban,1,1
Hyderabad,63,137267,Postgraduate,Private,5.68,1,Rural,4,1
Jaipur,69,58517,Secondary,Government,9.28,7,Rural,3,1
Chennai,36,39012,Secondary,Private,5.94,4,Semi-Urban,4,0
Lucknow,30,147487,Secondary,Government,1.16,1,Urban,0,1
Ahmedabad,59,26686,Primary,Government,5.75,2,Urban,0,0
Bangalore,38,37161,Secondary,Unemployed,5.97,3,Rural,2,0
Lucknow,54,7402,Primary,Unemployed,2.54,3,Semi-Urban,2,0
Jaipur,44,68190,Graduate,Self-Employed,4.97,6,Semi-Urban,1,1
Chennai,69,18275,Graduate,Government,4.86,5,Semi-Urban,0,1
Hyderabad,46,19915,Graduate,Private,6.42,7,Urban,1,1
Jaipur,37,5909,Graduate,Unemployed,2.97,3,Urban,1,0
Jaipur,42,119110,Graduate,Unemployed,6.03,2,Rural,4,0
Bangalore,23,70908,Secondary,Government,2.79,3,Rural,2,0
Kolkata,53,132337,Secondary,Private,4.74,7,Semi-Urban,1,1
Chennai,19,27620,Secondary,Unemployed,1.67,7,Rural,1,0
Mumbai,39,39112,Graduate,Unemployed,0.85,4,Semi-Urban,2,0
Jaipur,49,7431,Graduate,Private,3.55,1,Urban,2,0
Kolkata,33,91590,Primary,Unemployed,3.11,1,Rural,0,0
Mumbai,35,67175,Postgraduate,Private,4.37,2,Semi-Urban,2,1
Chennai,22,122472,Secondary,Government,9.64,5,Urban,4,1
Delhi,53,37624,Postgraduate,Unemployed,5.46,7,Semi-Urban,0,0
Ahmedabad,47,66264,Graduate,Government,5.76,1,Rural,1,1
Kolkata,62,118766,Graduate,Private,9.45,3,Semi-Urban,4,1
Pune,36,137767,Graduate,Government,9.25,7,Urban,4,1
Delhi,40,105211,Postgraduate,Government,8.9,4,Rural,0,1
Ahmedabad,51,124502,Primary,Government,1.43,5,Urban,1,0
Bangalore,30,49225,Graduate,Self-Employed,6.53,5,Rural,0,1
Lucknow,60,137475,Primary,Private,8.18,5,Semi-Urban,3,1
Hyderabad,46,15839,Primary,Private,8.44,1,Urban,3,0
Pune,53,145302,Secondary,Private,5.99,6,Urban,0,1
Bangalore,39,56977,Postgraduate,Private,0.67,5,Semi-Urban,1,0
Chennai,69,118050,Graduate,Private,9.75,2,Urban,1,1
Bangalore,69,30651,Primary,Unemployed,4.99,3,Urban,2,0
Lucknow,64,102919,Postgraduate,Unemployed,4.24,6,Urban,4,0
Chennai,53,44963,Postgraduate,Unemployed,4.25,4,Urban,0,0
Pune,26,122776,Graduate,Government,4.53,3,Semi-Urban,4,1
Lucknow,56,84198,Secondary,Government,2.8,2,Urban,4,0
Mumbai,68,149811,Secondary,Private,3.61,2,Urban,3,1
Hyderabad,36,135697,Primary,Self-Employed,9.86,7,Urban,3,1
Pune,55,68294,Secondary,Private,4.0,6,Rural,0,0
Mumbai,23,6789,Secondary,Unemployed,5.5,3,Rural,0,0
Ahmedabad,69,94297,Secondary,Private,8.56,1,Semi-Urban,1,1
Pune,64,123341,Postgraduate,Government,5.51,7,Semi-Urban,0,1
Ahmedabad,32,49135,Graduate,Private,3.58,2,Semi-Urban,1,0
Chennai,37,42067,Postgraduate,Unemployed,5.48,5,Urban,1,1
Mumbai,26,22357,Postgraduate,Private,1.58,4,Rural,0,0
Hyderabad,49,43262,Graduate,Government,1.74,4,Rural,1,0
Lucknow,21,63643,Postgraduate,Self-Employed,7.09,2,Semi-Urban,4,1
Jaipur,67,96270,Primary,Unemployed,9.22,5,Rural,1,0
Bangalore,35,143761,Primary,Private,7.39,3,Semi-Urban,4,1
Delhi,22,74103,Postgraduate,Government,1.21,4,Urban,4,0
Hyderabad,37,91268,Secondary,Unemployed,4.33,5,Rural,4,0
Mumbai,40,91310,Postgraduate,Unemployed,0.52,5,Urban,2,0
Jaipur,28,42412,Secondary,Government,5.36,1,Urban,2,1
Hyderabad,54,52734,Postgraduate,Private,2.34,2,Rural,1,0
Mumbai,39,92793,Primary,Private,8.75,5,Semi-Urban,0,1
Kolkata,21,27228,Secondary,Private,1.49,7,Rural,1,0
Kolkata,46,125627,Primary,Unemployed,0.51,3,Urban,2,0
Ahmedabad,61,82924,Postgraduate,Self-Employed,4.79,4,Semi-Urban,3,1
Hyderabad,51,16319,Graduate,Unemployed,1.98,7,Urban,3,0
Kolkata,30,11475,Secondary,Private,7.51,1,Semi-Urban,1,0
Mumbai,59,34545,Secondary,Unemployed,9.24,3,Rural,2,0
Ahmedabad,26,101636,Postgraduate,Self-Employed,0.9,4,Urban,4,0
Mumbai,59,35615,Postgraduate,Unemployed,4.26,2,Semi-Urban,2,0
Ahmedabad,48,18746,Secondary,Government,9.97,3,Semi-Urban,1,1
Hyderabad,24,6245,Graduate,Private,7.46,4,Rural,2,0
Jaipur,21,122408,Postgraduate,Private,9.56,1,Semi-Urban,3,1
Lucknow,36,117143,Postgraduate,Private,2.06,7,Semi-Urban,4,0
Pune,59,32632,Postgraduate,Unemployed,2.6,4,Urban,1,0
Jaipur,47,17856,Graduate,Unemployed,1.97,5,Rural,1,0
Chennai,48,73049,Secondary,Unemployed,3.37,1,Rural,0,0
Mumbai,52,63182,Primary,Private,7.38,3,Urban,4,0
Chennai,38,138873,Postgraduate,Unemployed,2.07,6,Urban,1,1
Jaipur,48,60654,Graduate,Private,5.48,2,Urban,2,1
Ahmedabad,36,60381,Secondary,Unemployed,3.06,7,Semi-Urban,2,0
Pune,48,63601,Secondary,Private,8.38,1,Rural,2,1
Pune,49,5364,Graduate,Government,0.56,7,Rural,2,0
Delhi,19,12436,Postgraduate,Unemployed,2.62,1,Rural,1,0
Pune,69,91713,Primary,Private,6.25,1,Semi-Urban,3,0
Lucknow,27,65194,Postgraduate,Government,1.42,4,Rural,4,0
Pune,19,29544,Secondary,Government,4.93,5,Rural,2,0
Jaipur,19,68295,Primary,Self-Employed,4.64,6,Rural,1,0
Delhi,41,148710,Postgraduate,Unemployed,8.6,2,Rural,1,1
Jaipur,34,74409,Primary,Private,6.44,7,Urban,2,0
Jaipur,49,131839,Graduate,Self-Employed,6.58,2,Semi-Urban,0,1
Bangalore,33,118759,Postgraduate,Unemployed,9.54,5,Rural,1,1
Delhi,33,22157,Secondary,Government,9.83,4,Rural,4,1
Jaipur,63,70888,Secondary,Unemployed,6.71,4,Rural,4,0
Bangalore,56,69947,Primary,Private,5.46,5,Rural,0,0
Bangalore,48,75880,Graduate,Government,6.28,7,Rural,1,1
Delhi,60,9507,Postgraduate,Self-Employed,4.13,5,Urban,0,1
Chennai,41,108134,Graduate,Unemployed,9.88,3,Urban,1,1
Ahmedabad,18,48988,Graduate,Unemployed,7.2,4,Semi-Urban,1,0
Lucknow,28,103421,Primary,Self-Employed,3.26,7,Semi-Urban,0,0
Ahmedabad,38,107591,Primary,Unemployed,1.05,1,Rural,3,0
Pune,21,134614,Postgraduate,Unemployed,0.92,2,Rural,2,0
Lucknow,24,32213,Secondary,Unemployed,2.45,4,Urban,2,0
Pune,43,62450,Postgraduate,Government,2.71,5,Semi-Urban,2,1
Jaipur,64,140549,Graduate,Government,4.44,1,Rural,0,1
Mumbai,67,67222,Primary,Private,2.54,3,Rural,1,0
Delhi,29,142605,Graduate,Unemployed,6.49,6,Rural,1,1
Lucknow,48,17755,Primary,Private,2.51,3,Semi-Urban,4,0
Lucknow,34,136937,Secondary,Government,2.28,1,Urban,1,1
Jaipur,50,147245,Graduate,Unemployed,4.98,7,Urban,3,1
Chennai,28,38371,Primary,Private,8.94,7,Rural,2,0
Bangalore,45,147326,Postgraduate,Unemployed,4.95,1,Rural,3,1
Jaipur,49,140090,Postgraduate,Unemployed,4.43,7,Rural,2,1
Kolkata,18,10192,Postgraduate,Self-Employed,5.99,5,Rural,0,1
Bangalore,64,7015,Graduate,Private,2.94,7,Rural,3,0
Delhi,45,113154,Primary,Government,3.86,6,Semi-Urban,1,0
Bangalore,59,33343,Primary,Private,2.53,5,Urban,2,0
Chennai,24,74306,Primary,Private,5.93,2,Semi-Urban,4,0
Bangalore,19,10829,Graduate,Private,7.13,7,Semi-Urban,3,0
Delhi,59,39381,Primary,Self-Employed,6.9,6,Rural,0,0
Chennai,41,116451,Secondary,Unemployed,2.92,6,Semi-Urban,4,0
Ahmedabad,21,23263,Graduate,Government,7.91,2,Urban,0,1
Lucknow,61,63418,Secondary,Self-Employed,2.93,3,Rural,2,0
Lucknow,36,5148,Secondary,Government,1.93,1,Urban,3,0
Pune,43,137826,Postgraduate,Self-Employed,3.82,3,Semi-Urban,0,1
Ahmedabad,28,31745,Graduate,Unemployed,6.18,7,Rural,4,0
Ahmedabad,57,77914,Primary,Government,1.85,7,Urban,4,0
Bangalore,67,65653,Secondary,Private,6.66,5,Urban,1,1
Lucknow,60,83315,Graduate,Self-Employed,8.7,4,Rural,0,1
Delhi,28,36075,Primary,Government,3.28,7,Urban,3,0
Hyderabad,62,14795,Postgraduate,Unemployed,4.78,7,Rural,3,0
Hyderabad,20,69555,Graduate,Government,2.67,5,Rural,1,0
Chennai,29,108107,Graduate,Self-Employed,3.93,4,Semi-Urban,4,0
Lucknow,20,56529,Graduate,Unemployed,0.71,1,Urban,0,0
Lucknow,59,147744,Primary,Private,9.56,1,Rural,4,1
Hyderabad,44,16009,Secondary,Self-Employed,4.45,6,Semi-Urban,0,0
Lucknow,66,34381,Secondary,Self-Employed,7.99,1,Semi-Urban,0,1
Bangalore,19,132769,Graduate,Unemployed,1.86,2,Rural,0,0
Kolkata,66,69610,Graduate,Self-Employed,8.22,2,Rural,4,1
Mumbai,33,73122,Primary,Government,8.67,4,Urban,4,1
Ahmedabad,19,73184,Postgraduate,Private,7.3,3,Urban,4,1
Pune,47,92228,Graduate,Government,9.08,6,Urban,2,1
Chennai,37,77943,Graduate,Unemployed,2.09,3,Rural,4,0
Kolkata,55,85770,Postgraduate,Self-Employed,5.03,4,Semi-Urban,1,1
Hyderabad,45,57726,Graduate,Private,6.39,2,Semi-Urban,2,1
Ahmedabad,42,52780,Secondary,Unemployed,6.16,5,Rural,0,0
Lucknow,49,47503,Graduate,Government,8.68,7,Urban,3,1
Pune,27,62893,Secondary,Self-Employed,2.55,6,Semi-Urban,2,0
Lucknow,59,66358,Primary,Self-Employed,2.17,4,Semi-Urban,2,0
Delhi,57,85857,Primary,Unemployed,2.91,3,Urban,0,0
Delhi,50,125457,Secondary,Government,8.97,4,Semi-Urban,4,1
Pune,30,122928,Secondary,Self-Employed,9.44,4,Urban,4,1
Pune,58,63706,Postgraduate,Government,5.91,1,Semi-Urban,2,1
