City,Area_Code,Population,Unemployment_Rate,Police_Stations,Time,Victim_Age,Victim_Gender,Weapon_Used,Past_Crime_Rate,Crime_Occurred
Hyderabad,47,17928,6.94,8,Night,53,Male,None,7,0
Chennai,46,58002,17.87,3,Night,60,Male,Rod,43,1
Jaipur,19,94853,2.62,6,Afternoon,39,Male,None,39,0
Lucknow,13,124614,4.05,9,Evening,52,Male,Gun,44,0
Hyderabad,42,127517,5.59,1,Evening,44,Male,Rod,89,1
Bhopal,21,166089,14.98,3,Morning,46,Male,Gun,26,1
Kolkata,37,89064,16.06,2,Evening,60,Female,Rod,66,1
Hyderabad,27,129694,3.14,8,Night,67,Male,Rod,23,0
Jaipur,29,154385,2.52,6,Afternoon,54,Female,Gun,18,0
Lucknow,20,142631,13.91,10,Night,27,Male,None,54,0
Chennai,25,60893,4.13,11,Night,45,Male,Knife,66,0
Jaipur,6,25167,4.13,11,Evening,68,Male,Rod,91,1
Jaipur,36,48598,2.36,8,Afternoon,19,Female,Rod,94,1
Kolkata,2,148595,2.8,2,Afternoon,45,Female,Knife,47,0
Bangalore,22,59777,6.22,11,Night,20,Male,None,59,0
Lucknow,32,169511,3.04,6,Morning,31,Female,Knife,44,0
Mumbai,16,126378,7.9,7,Evening,42,Male,None,16,0
Jaipur,18,91060,15.32,8,Morning,19,Male,Rod,69,1
Bangalore,5,23285,7.22,9,Night,23,Female,Rod,38,0
Mumbai,36,152045,13.65,5,Evening,63,Male,Gun,87,1
Lucknow,30,132970,3.5,11,Morning,23,Male,None,27,0
Delhi,45,32694,12.55,3,Morning,32,Female,Knife,75,1
Bhopal,19,176846,7.07,2,Morning,61,Male,None,11,0
Bangalore,23,145374,14.0,8,Evening,59,Male,None,69,1
Patna,34,163463,4.18,1,Morning,18,Female,None,22,0
Delhi,13,14611,16.37,10,Afternoon,42,Female,None,12,0
Bhopal,43,19372,5.88,6,Night,67,Male,Knife,93,1
Kolkata,29,165384,7.65,2,Evening,49,Male,Gun,46,1
Hyderabad,36,155152,17.2,3,Afternoon,60,Female,Rod,91,1
Chennai,22,90618,11.26,8,Morning,36,Female,Knife,5,0
Patna,47,122945,7.85,1,Night,58,Male,Knife,83,1
Kolkata,36,118397,17.19,6,Morning,39,Female,Rod,19,0
Lucknow,9,106213,7.27,3,Afternoon,59,Female,Gun,32,0
Kolkata,39,30874,3.52,6,Morning,65,Female,Knife,40,0
Hyderabad,19,142669,17.95,3,Evening,56,Male,Rod,50,1
Lucknow,38,21600,6.29,11,Afternoon,44,Male,Gun,81,1
Patna,6,144819,15.62,11,Evening,54,Male,Gun,25,0
Hyderabad,47,89415,4.65,8,Night,21,Male,None,53,0
Mumbai,15,165887,13.7,5,Evening,29,Male,Knife,43,1
Chennai,20,104348,10.39,4,Evening,65,Female,Gun,42,1
Patna,9,115736,17.69,9,Morning,29,Female,Knife,13,0
Mumbai,32,34714,10.85,5,Morning,52,Female,Rod,24,0
Bhopal,4,159962,2.4,4,Afternoon,67,Male,Knife,88,1
Patna,18,145797,11.66,8,Night,39,Male,Gun,12,0
